word,weight,frequency,weight_pct,frequency_pct,hits
storm,749.785714286,14,0.0319028407922,0.000281503227233,10497
cloud,437.189189189,37,0.0186020843463,0.000743972814831,16176
comic,366.545454545,11,0.0155962444425,0.000221181107112,4032
dialer,351.818181818,11,0.0149696096211,0.000221181107112,3870
translate,320.428571429,14,0.0136340043626,0.000281503227233,4486
hour,286.272727273,11,0.0121806978545,0.000221181107112,3149
safari,284.357142857,14,0.0120991911207,0.000281503227233,3981
widget,279.058823529,17,0.0118737514587,0.000341825347355,4744
golden,275.666666667,12,0.0117294176334,0.000241288480486,3308
moon,272.954545455,22,0.011614018834,0.000442362214224,6005
capture,272.75,12,0.0116053155726,0.000241288480486,3273
local,260.159090909,44,0.0110695814815,0.000884724428448,11447
calendar,242.096774194,31,0.0103010429463,0.000623328574588,7505
fire,238.117647059,17,0.0101317339597,0.000341825347355,4048
rain,230.352941176,17,0.0098013513306,0.000341825347355,3916
web,213.71875,32,0.00909357850604,0.000643435947962,6839
midi,208.9,10,0.00888854417272,0.000201073733738,2089
screen,205.75,20,0.00875451394704,0.000402147467476,4115
blue,197.55,20,0.0084056098675,0.000402147467476,3951
professional,194.117647059,17,0.00825956572803,0.000341825347355,3300
streamer,183.454545455,22,0.00780585845361,0.000442362214224,4036
beat,179.266666667,15,0.00762766723486,0.000301610600607,2689
slide,155.9,10,0.00663343243909,0.000201073733738,1559
change,155.125,16,0.00660045674865,0.000321717973981,2482
days,154.0,33,0.00655258881091,0.000663543321336,5082
quality,152.8125,16,0.00650206154329,0.000321717973981,2445
drive,152.625,24,0.00649408355367,0.000482576960972,3663
machine,150.65,20,0.00641004872963,0.000402147467476,3013
night,147.956521739,23,0.00629544317434,0.000462469587598,3403
global,142.647058824,34,0.00606952936075,0.00068365069471,4850
speak,141.882352941,17,0.00603699167758,0.000341825347355,2412
player,141.184615385,130,0.00600730344832,0.0026139585386,18354
full,134.857142857,21,0.00573807406076,0.00042225484085,2832
red,133.814814815,27,0.00569372375512,0.000542899081093,3613
snap,128.296296296,27,0.00545891477657,0.000542899081093,3464
slideshow,125.375,16,0.00533461572836,0.000321717973981,2006
center,124.925925926,27,0.00531550795074,0.000542899081093,3373
weather,124.420886076,316,0.00529401886977,0.00635392998613,39317
forecasts,121.333333333,18,0.0051626457298,0.000361932720729,2184
flight,116.25,32,0.00494635356667,0.000643435947962,3720
videos,116.243902439,41,0.00494609411986,0.000824402308326,4766
recorder,115.62962963,54,0.00491995725533,0.00108579816219,6244
piano,114.884615385,26,0.00488825743711,0.000522791707719,2987
magic,114.485714286,35,0.00487128448336,0.000703758068084,4007
sun,108.0,12,0.00459532202323,0.000241288480486,1296
fake,107.642857143,28,0.00458012585252,0.000563006454467,3014
files,106.0,12,0.00451022346725,0.000241288480486,1272
air,104.517857143,56,0.00444715935879,0.00112601290893,5853
personal,102.615384615,26,0.00436621052635,0.000522791707719,2668
american,98.0833333333,12,0.00417337501647,0.000241288480486,1177
music,97.6604477612,268,0.0041553815407,0.00538877606418,26173
long,95.9,10,0.00408047575952,0.000201073733738,959
special,94.9,10,0.00403792648153,0.000201073733738,949
arcade,85.3076923077,13,0.00362978071493,0.00026139585386,1109
status,85.25,12,0.00362732594889,0.000241288480486,1023
beautiful,84.3529411765,17,0.00358915674364,0.000341825347355,1434
arena,83.7272727273,11,0.00356253500286,0.000221181107112,921
do,79.8035714286,56,0.00339558434554,0.00112601290893,4469
io,79.3333333333,12,0.0033755760541,0.000241288480486,952
forecast,77.6259541985,131,0.00330292830465,0.00263406591197,10169
browser,77.0789473684,38,0.00327965355898,0.000764080188205,2929
location,76.6857142857,35,0.00326292177523,0.000703758068084,2684
one,75.8510638298,47,0.00322740800095,0.000945046548569,3565
